name,area,salary,corp_name,description,job_restrict,welfare
人事专员 行政专员薪资6000 绩效 全勤奖,上海-闵行区,6-8千/月,上海胜基网络科技有限公司,"
合资  |  150-500人  |  互联网/电子商务,计算机软件","无工作经验,大专,招2人,03-02发布","五险一金,员工旅游,绩效奖金,专业培训,定期体检,免费下午茶,全勤奖"
销售（底薪5k+高额提成）,上海-嘉定区,0.8-1万/月,上海纽港资产管理有限公司,"
民营公司  |  500-1000人  |  金融/投资/证券,银行","无工作经验,大专,招10人,03-02发布","员工旅游,通讯补贴,专业培训,出国机会,年终奖金,五险一金,绩效奖金,做五休二,周末双休"
天猫运营,上海-普陀区,0.8-1万/月,上海乐迈企业发展有限公司,"
民营公司  |  50-150人  |  多元化业务集团公司","3-4年经验,招2人,03-02发布","做五休二,带薪年假,五险一金,节日福利,全勤奖,加班补贴"
销售代表（底薪5800+绩效奖金+提成+五险一金）,上海-浦东新区,1-1.5万/月,天津宁翼贵金属经营有限公司上海营业部,"
民营公司  |  500-1000人  |  金融/投资/证券","无工作经验,大专,招20人,03-02发布","带薪年假,五险一金,绩效奖金,全勤奖,节日福利,专业培训,加班补贴,餐饮补贴,推荐住宿"
直招货运海员普工、跟单员、焊工,上海,1-1.5万/月,中运航运有限公司,"
合资  |  500-1000人  |  贸易/进出口,交通/运输/物流","1年经验,初中及以下,招20人,03-02发布","弹性工作,带薪年假,五险一金,包吃,包三餐,包住宿,全勤奖,绩效奖金,加班补贴,高温补贴"
商业项目财务经理,上海,,浙江佳源房地产集团有限公司,"
民营公司  |  5000-10000人  |  房地产","无工作经验,招1人,03-02发布",
ERP实施顾问/软件实施工程师/培训讲师/项目经理,上海-嘉定区,3-7千/月,上海彦鑫信息科技有限公司,"
民营公司  |  少于50人  |  计算机软件","无工作经验,招20人,03-02发布","绩效奖金,专业培训,年终奖金,弹性工作,包住宿"
销售顾问、业务（朝九晚五、周末双休、压力小）,上海-静安区,6-9.9千/月,上海宝园财务管理咨询有限公司,"
民营公司  |  50-150人  |  专业服务(咨询、人力资源、财会)","无工作经验,大专,招10人,03-02发布","周末双休,餐饮补贴,五险一金,带薪年假,年终奖金,员工旅游"
硬件工程师(职位编号：003),上海-徐汇区,0.7-1万/月,上海渐华科技发展有限公司,"
民营公司  |  50-150人  |  计算机软件,互联网/电子商务","无工作经验,本科,招2人,03-02发布","五险一金,弹性工作,定期体检,员工旅游"
sharepoint开发工程师（中国外汇交易中心岗位）,上海-浦东新区,1.2-2万/月,上海向普科技有限公司,"
合资  |  50-150人  |  计算机服务(系统、数据服务、维修),金融/投资/证券","无工作经验,招若干人,03-02发布","五险一金,定期体检,专业培训,绩效奖金,员工旅游,试用期发全薪"
客服主管,上海-浦东新区,5-9千/月,上海普资金融信息服务股份有限公司,"
合资  |  150-500人  |  金融/投资/证券,互联网/电子商务","3-4年经验,大专,招1人,03-02发布","五险一金,员工旅游,出国机会,绩效奖金,做五休二,周末双休,带薪年假,专业培训,节日福利,全勤奖"
营销策划,上海,0.6-1万/月,俺来也（上海）网络科技有限公司,"
民营公司  |  150-500人  |  互联网/电子商务","1年经验,本科,招1人,03-02发布",
天猫运营 天猫店长 网店运营,上海-浦东新区,0.8-1.2万/月,于斯教育科技（上海）有限公司,"
合资  |  150-500人  |  互联网/电子商务,教育/培训/院校","无工作经验,招1人,03-02发布","五险一金,带薪年假,全勤奖,节日福利"
建筑设计项目管理,上海,2-3万/月,太平洋设计集团,"
民营公司  |  10000人以上  |  建筑/建材/工程","8-9年经验,本科,招3人,03-02发布","五险一金,交通补贴,餐饮补贴,通讯补贴,绩效奖金,定期体检"
前台兼销售助理（浦东芳华路）,上海-浦东新区,5-6.3千/月,上海中智项目外包咨询服务有限公司,"
国企  |  1000-5000人  |  专业服务(咨询、人力资源、财会)","1年经验,大专,招若干人,03-02发布","五险一金,补充商业保险,通讯报销,提供午餐"
软件测试工程师,上海-普陀区,8-24万/年,上海读客图书有限公司,"
民营公司  |  50-150人  |  文字媒体/出版,影视/媒体/艺术/文化传播","3-4年经验,大专,招1人,03-02发布","五险一金,专业培训,年终奖金,弹性工作,定期体检,节日福利,生日会"
人事经理,上海,1.2-1.8万/月,宁圣金融信息服务（上海）有限公司,"
民营公司  |  500-1000人  |  金融/投资/证券","5-7年经验,本科,招1人,03-02发布","五险一金,绩效奖金,年终奖金,股票期权"
flash动画师,上海-杨浦区,0.6-1万/月,上海呼啦啦教育科技有限公司,"
创业公司  |  少于50人  |  互联网/电子商务","1年经验,招5人,03-02发布",
机电安装项目经理,上海-徐汇区,10-30万/年,上海开纯洁净室技术工程有限公司,"
民营公司  |  150-500人  |  建筑/建材/工程","5-7年经验,大专,招2人,03-02发布","五险一金,员工旅游,年终奖金,绩效奖金,出国机会,专业培训,定期体检"
风控专员,上海-黄浦区,4-6千/月,上海助袋之家信息科技有限公司,"
民营公司  |  150-500人  |  金融/投资/证券","无工作经验,大专,招5人,03-02发布",
行政人事助理,上海-黄浦区,4.5-6千/月,RE/MAX瑞麦地产（上海）,"
合资  |  1000-5000人  |  房地产,中介服务","无工作经验,大专,招1人,03-02发布",
